Instance Type,PricePerUnit
m5d.12xlarge,2.712
m7a.8xlarge,1.85472
r7a.32xlarge,9.7376
r7a.8xlarge,2.4344
c7a.large,0.10264
m5a.12xlarge,2.064
m6in.xlarge,0.27846
r6idn.24xlarge,9.37872
r7g.metal,3.4272
r5n.metal,7.152
r7a.16xlarge,4.8688
m1.small,0.044
c6in.xlarge,0.2268
t4g.large,0.0672
r5a.xlarge,0.226
r5.2xlarge,0.504
r6id.24xlarge,7.2576
r5b.large,0.149
m6idn.12xlarge,3.81888
t2.2xlarge,0.3712
c6a.32xlarge,4.896
m6i.xlarge,0.192
m6i.2xlarge,0.384
m7a.16xlarge,3.70944
m6idn.large,0.15912
m6in.12xlarge,3.34152
c5.xlarge,0.17
m5ad.12xlarge,2.472
c4.2xlarge,0.398
c7gd.4xlarge,0.7258
p5.48xlarge,98.32
c5ad.12xlarge,2.064
r7a.24xlarge,7.3032
g3.16xlarge,4.56
c6i.12xlarge,2.04
c7gd.large,0.0907
d3.8xlarge,3.99552
i4g.xlarge,0.30888
t3a.nano,0.0047
m6a.large,0.0864
cr1.8xlarge,3.5
m7gd.8xlarge,1.7086
m6gd.metal,2.8928
u-6tb1.56xlarge,46.40391
d3.xlarge,0.499
z1d.large,0.186
m4.4xlarge,0.8
r6idn.2xlarge,0.78156
m7gd.xlarge,0.2136
r5d.metal,6.912
i3.4xlarge,1.248
a1.xlarge,0.102
c7a.48xlarge,9.85344
i4i.32xlarge,10.9824
m4.xlarge,0.2
m6idn.32xlarge,10.18368
c6gn.12xlarge,2.0736
g2.2xlarge,0.65
c5a.large,0.077
m5n.2xlarge,0.476
g4ad.16xlarge,3.468
c4.large,0.1
g5g.xlarge,0.42
c5.9xlarge,1.53
r5d.24xlarge,6.912
r6id.8xlarge,2.4192
g5.4xlarge,1.624
c4.xlarge,0.199
r6idn.large,0.19539
r7g.xlarge,0.2142
h1.4xlarge,0.936
m5d.metal,5.424
r6i.xlarge,0.252
c7gd.2xlarge,0.3629
m7a.12xlarge,2.78208
r3.8xlarge,2.66
c7i.large,0.08925
m6gd.4xlarge,0.7232
c7a.16xlarge,3.28448
r7g.2xlarge,0.4284
c7gn.2xlarge,0.4992
x2gd.4xlarge,1.336
m5zn.6xlarge,1.982
r5dn.24xlarge,8.016
p2.xlarge,0.9
m7a.2xlarge,0.46368
c6id.12xlarge,2.4192
m6a.8xlarge,1.3824
hpc7g.4xlarge,1.6832
c7a.xlarge,0.20528
m5.xlarge,0.192
t4g.2xlarge,0.2688
m7i-flex.4xlarge,0.76608
r6a.8xlarge,1.8144
d3en.2xlarge,1.051
i2.xlarge,0.853
m7g.16xlarge,2.6112
c6gn.16xlarge,2.7648
r5n.2xlarge,0.596
im4gn.2xlarge,0.72758
g3s.xlarge,0.75
r5dn.12xlarge,4.008
m5zn.12xlarge,3.9641
i4g.8xlarge,2.47104
t1.micro,0.02
c6i.8xlarge,1.36
r6i.metal,8.064
r7iz.xlarge,0.372
x2iezn.12xlarge,10.008
p3.2xlarge,3.06
m5.large,0.096
hpc7g.8xlarge,1.6832
r7g.16xlarge,3.4272
c6id.4xlarge,0.8064
z1d.3xlarge,1.116
m5n.24xlarge,5.712
r5.8xlarge,2.016
c6g.2xlarge,0.272
c6id.32xlarge,6.4512
c7g.8xlarge,1.16
c7g.4xlarge,0.58
c7a.8xlarge,1.64224
c5ad.24xlarge,4.128
r6gd.4xlarge,0.9216
r6idn.12xlarge,4.68936
c6gd.4xlarge,0.6144
